Item No.,Discipline,Severity,Reference Drawing(s)/Location,Observation/Comments
1,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,Hydrant and FDC locations shown but no dimensions to building entrances or fire apparatus access roads; ability to meet local fire department access/spacing requirements is unclear.
2,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,Note “FOR HYDRAULIC REFERENCE ONLY (UG BY OTHERS)” for underground piping creates ambiguity on responsibility and continuity between site UG mains and building FP risers; coordination details not defined.
3,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,"Relationship between finished grade, potential flood elevations, and hydrant/FDC elevations not indicated; ability to access hydrants/FDC during flood events is not verifiable."
4,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,"Fire pump/test header/riser room location shown but access route, door width, and clear working space around equipment are not detailed; compliance with NFPA 20 access requirements cannot be confirmed."
5,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,"Flow test data table provided but test location and tie-in point to proposed fire service not clearly identified on plan, making hydraulic applicability to this building uncertain."
6,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,Standpipe riser routing from site service into stair cores and vertical continuity is not indicated; compliance with NFPA 14 for standpipe arrangement is unclear.
7,Fire Protection,Medium,210000 - Fire protection index.pdf,"Index references “VIBRATION CONTROLS FOR FIRE PROTECTION SYSTEMS (NON-SEISMIC)” in related sections, but that section number is not listed in the Division 21 index, creating ambiguity on applicable vibration-control requirements."
8,Fire Protection,Critical,210500 - Common work results for fire protection.pdf,Spec states “Building or area will be fully sprinklered (exception only as per local code)” but no criteria given for identifying any non-sprinklered spaces; areas exempt from sprinklers cannot be determined.
9,Fire Protection,Critical,210500 - Common work results for fire protection.pdf,"Requirement for “combination standpipe and sprinkler riser system” is stated, but no coordination language with architectural/riser diagrams on exact number, size, and locations of combination risers; potential conflict with future layout."
10,Fire Protection,Critical,210500 - Common work results for fire protection.pdf,Spec requires hydraulic calculations for “each system for each floor” but does not define design density/area criteria or special hazard occupancies by floor; basis-of-design for calculations is not clearly established.
11,Fire Protection,Medium,210505 - General materials and methods.pdf,Section lists access doors and concrete bases but does not coordinate responsibility with architectural/structural drawings; potential scope gap on who provides and details access panels and equipment pads for FP equipment.
12,Fire Protection,Medium,210505 - General materials and methods.pdf,"Document references Division 21 Section 21 05 47 “VIBRATION CONTROLS FOR FIRE PROTECTION SYSTEMS (NON-SEISMIC)” but that spec section is not included in the provided index set, leaving vibration isolation requirements undefined."
13,Fire Protection,High,210517 - Sleeves and sleeve seals for fire-suppression piping.pdf,Sleeve spec applies generally but does not distinguish fire-rated vs non-rated assemblies or reference tested firestop systems; fire-resistance rating maintenance at FP penetrations is not clearly specified.
14,Fire Protection,High,210517 - Sleeves and sleeve seals for fire-suppression piping.pdf,Only one manufacturer (Zurn) is listed explicitly; absence of “or equal” language or alternates criteria may restrict competitive bidding and complicate submittal approvals.
15,Fire Protection,High,File: 210518 - Escutcheons for fire-suppression piping.pdf,Installation requirements for escutcheons do not reference fire-resistance-rated wall/ceiling penetrations or coordination with firestopping systems; need clarification on compatibility and detailing at rated assemblies.
16,Fire Protection,High,File: 210518 - Escutcheons for fire-suppression piping.pdf,"No requirement stated for escutcheon type/finish selection by occupancy (e.g., concealed vs. exposed areas), which may cause inconsistencies and field direction RFIs."
17,Fire Protection,Medium,File: 210519 - Meters and gauges.pdf,"Specification defines submittals and related sections but does not identify minimum pressure rating, accuracy class, or NFPA reference for each meter/gauge type; contractor cannot confirm compliance without additional criteria."
18,Fire Protection,Medium,File: 210519 - Meters and gauges.pdf,"Scope includes “water meters installed outside the building” but no coordination language with civil/utility design or enclosure/freeze protection, creating ambiguity on responsibility and details."
19,Fire Protection,Medium,File: 210519 - Meters and gauges.pdf,Shop drawing requirements call for “location for each meter and gauge” but no baseline locations are indicated in this spec; need confirmation that FP plans will clearly show all required instruments to avoid omissions.
20,Fire Protection,High,File: 210529 - Hangers and supports.pdf,"Section lists vibration-isolation and equipment bases but does not clearly distinguish which items apply to fire protection piping vs. mechanical equipment, creating potential scope overlap and pricing conflicts."
21,Fire Protection,High,File: 210529 - Hangers and supports.pdf,"No explicit reference to seismic bracing design criteria (code edition, Seismic Design Category, force levels) for FP hangers/supports; seismic requirements for sprinkler piping may be under-defined."
22,Fire Protection,High,File: 210529 - Hangers and supports.pdf,"Reliance on other sections for materials and vibration controls without stating load limits, spacing, or allowable hanger types for FP piping may lead to inconsistent hanger layouts and RFIs during coordination."
23,Fire Protection,Medium,File: 210553 - Identification for fire-suppression piping and equipment.pdf,"Scope lists equipment labels, warning signs, pipe labels, stencils, and valve/warning tags but does not reference NFPA 13/14/20 identification requirements or color standards; need confirmation of governing standard to avoid rework."
24,Fire Protection,Medium,File: 210553 - Identification for fire-suppression piping and equipment.pdf,Spec requires extensive equipment- and valve-label schedules but no format or responsibility for developing initial numbering scheme is defined; clarification needed to avoid delays in closeout documentation.
25,Fire Protection,Medium,File: 210553 - Identification for fire-suppression piping and equipment.pdf,"Coordination language notes access panels and ceilings, but no explicit requirement that labels/tags remain visible after ceiling installation; risk of concealed or inaccessible identification in hard ceilings."
26,Fire Protection,High,File: 210800 - Fire protection testing.pdf,"Section provides only general testing language and defers details to other sections; it is unclear which FP systems (sprinklers, standpipes, pumps, clean agent, etc.) are covered and what specific acceptance tests are required."
27,Fire Protection,High,File: 210800 - Fire protection testing.pdf,"Testing is to be “as specified in each Section,” but cross-references to those sections and applicable NFPA standards are minimal; risk that some systems may not have clearly defined testing procedures."
28,Fire Protection,High,File: 210800 - Fire protection testing.pdf,"Responsibilities and cost allocation for independent testing agency, pre-testing by contractor, and report distribution are not clearly assigned; need clarification to avoid disputes at commissioning."
29,Fire Protection,Critical,File: 211200 - Fire-suppression standpipes.pdf,"Standpipe spec identifies only “Automatic Wet-Type, Class I Standpipe System” but does not state required NFPA 14 edition, system zoning, or whether high-pressure vs standard-pressure standpipes are required by floor; request clarification for design and routing."
30,Fire Protection,Critical,File: 211200 - Fire-suppression standpipes.pdf,Standpipe spec references sprinkler and fire pump sections but provides no explicit coordination requirements for combined standpipe/sprinkler risers or shared fire pump; need confirmation of intended system integration for constructability.
31,Fire Protection,Critical,File: 211313 - Wet pipe sprinkler systems.pdf,Specification states building/area will be “fully sprinklered (exception only as per local code)” but does not define any exempt/omitted spaces or criteria; sprinkler coverage limits and special hazard areas are ambiguous for layout.
32,Fire Protection,Critical,File: 211313 - Wet pipe sprinkler systems.pdf,"Note that “all areas will be supplied from a combination, standpipe, or sprinkler riser system” is vague; riser count, zoning, and interface with standpipe risers are not described, impacting coordination of vertical piping and valve locations."
33,Fire Protection,Critical,File: 211313 - Wet pipe sprinkler systems.pdf,"Spec requires hydraulic calculations but does not state required design densities/area (e.g., NFPA 13 hazard classifications by occupancy); unclear criteria for sizing mains, pumps, and standpipes."
34,Fire Protection,Critical,"File: 213113 - Electric-drive, centrifugal fire pumps.pdf","Fire pump spec lists equipment but on this page provides no required pump capacity, total head, suction source, or redundancy; without defined duty point, constructability and sizing of pump, suction, and discharge piping are unclear."
35,Fire Protection,Critical,"File: 213113 - Electric-drive, centrifugal fire pumps.pdf",Performance requirements reference a “Schedule” for ratings and motor size but that schedule is not included on this page; need confirmation of where pump schedule is located and that it defines pressures for both sprinkler and standpipe demand.
36,Fire Protection,Critical,"File: 213113 - Electric-drive, centrifugal fire pumps.pdf","Shop drawing requirement lists equipment dimensions and clearances but spec does not define minimum code/maintenance clearances around fire pump, controllers, and test header; request explicit clearance criteria for room layout coordination."
37,Fire Protection,Critical,File: Faena - 50% CD - Architecture.pdf,"Architectural cover sheet does not list applicable fire protection codes/standards or design criteria (e.g., NFPA 13, 14, 20 editions, building code, hazard classifications); FP design basis is not clearly established."
38,Fire Protection,Critical,File: Faena - 50% CD - Architecture.pdf,"Floor plan shows stairs, cores, and major spaces but no standpipe riser, hose valve, sprinkler main, or fire pump room references; FP system routing and locations are not coordinated with architectural layout on this sheet."
39,Fire Protection,Critical,File: Faena - 50% CD - Architecture.pdf,Stair enclosures are shown without indicated standpipe hose valve locations or fire-rated shaft coordination for FP piping; need confirmation of standpipe riser locations and hose valve placement at each stair landing.
40,Fire Protection,Critical,File: Faena - 50% CD - Architecture.pdf,"Numerous architectural soffits, canopies, and double-height spaces are indicated but there is no coordination note regarding sprinkler coverage under soffits or at balcony/canopy areas; risk of hidden obstructions and noncompliant sprinkler spacing."
41,Fire Protection,Critical,Faena - 50% CD - Architecture.pdf,"Architectural enlarged floor plan does not show any sprinkler heads, standpipes, or FP piping; FP coordination with room layouts, soffits, and ceilings is unclear."
42,Fire Protection,Critical,Faena - 50% CD - Architecture.pdf,Fire-rated walls and shafts indicated architecturally but no FP penetration details or sleeve/escutcheon requirements shown; need coordination with FP drawings for rated penetrations.
43,Fire Protection,Critical,Faena - 50% CD - Architecture.pdf,Stair and elevator core layouts shown without standpipe riser and hose valve locations; routing and coverage in stairs not defined.
44,Fire Protection,Critical,A0701 - LIFE SEFETY PLAN - LEVEL 1 - GROUND.pdf,"Life safety plan shows exit paths and rated enclosures but no indication of sprinkler zoning, riser locations, or standpipe outlets; FP system layout cannot be verified."
45,Fire Protection,Critical,A0701 - LIFE SEFETY PLAN - LEVEL 1 - GROUND.pdf,"No fire hydrant locations or FDCs indicated around the site on this life safety sheet; need confirmation of hydrant spacing, FDC placement, and flood-resilient access."
