Item No.,Discipline,Severity,Reference Drawing(s)/Location,Observation/Comments
1,Mechanical,Critical,Index,"Mechanical sheet index lists numerous mechanical drawings, but there is no indication of which sheets contain mechanical general notes, details, riser diagrams, control diagrams, or sequences of operation; unclear where key constructability information (access, condensate, controls, shafts/risers, etc.) is defined."
2,Mechanical,Critical,Faena - 50% CD - Specifications.pdf,"Division 01 language (1.5.B–C) states contractor must provide incidental labor/materials to translate design intent, which conflicts with Coastal requirement that mechanical scope be fully documented; need confirmation that complete mechanical design (routing, sizing, access, controls, TAB, commissioning requirements) will be shown on drawings/specs rather than inferred by contractor."
3,Mechanical,Critical,Faena - 50% CD - Architecture.pdf,"Architectural cover sheet provides project title only and no coordination notes, code summary, or references to shaft, mechanical room, or roof equipment zoning; future mechanical plans may lack clear cross-reference to architectural constraints (fire/smoke separations, acoustic requirements, shaft ratings) needed for constructability."
4,Mechanical,Critical,Faena - 50% CD - Structure.pdf,"Structural cover sheet shows 3D structural model and index but no indication of reserved shaft locations, major mechanical openings, or equipment support zones; potential conflict risk for future mechanical risers, large ducts, and equipment supports that are not yet coordinated with structure."
5,Mechanical,Critical,Faena - 50% CD - Electrical.pdf,"Electrical legend/schedules do not identify dedicated mechanical power/controls coordination notes (e.g., requirements for mechanical equipment disconnect locations, BMS power, interlocks, or generator-backed mechanical loads); need explicit cross-discipline coordination guidance for mechanical equipment power and controls."
6,Mechanical,Critical,Faena - 50% CD - Plumbing.pdf,"Plumbing notes reference condensate connections and indirect drains from mechanical equipment but no cross-reference to mechanical drawings, details, or specific fixture types is provided; coordination requirements for condensate routing from AHUs/FCUs and other HVAC equipment are ambiguous."
7,Mechanical,Critical,Faena - 50% CD - Plumbing.pdf,"Site plumbing plan shows multiple underground sanitary, storm, and water services but does not identify any dedicated mechanical equipment pads or exterior mechanical rooms, making it unclear how underground utilities are coordinated with incoming chilled water, condenser water, or other mechanical site services."
8,Mechanical,Critical,Faena - 50% CD - Fire Protection.pdf,"Fire protection site plan and notes reference fire pump/test header and service entry but provide no explicit coordination notes for mechanical/electrical rooms (e.g., fire pump room HVAC, combustion air, heat removal, or drainage), leaving mechanical support requirements for the fire pump space undefined."
9,Mechanical,Critical,Faena - 50% CD - Fire Protection.pdf,"Flow test information is provided “for hydraulic reference only (UG by others)” but there is no indication of how this data is to be integrated with mechanical room layouts or shaft allocation for risers, creating risk of uncoordinated riser and equipment sizing with mechanical systems."
10,Mechanical,Critical,index,"Mechanical sheet index lists numerous plans, sections, and details, but there is no explicit identification of mechanical riser diagrams (airside and waterside), making it unclear whether dedicated riser diagrams will be provided for coordination of vertical shafts and main duct/pipe routing."
11,Mechanical,Critical,index,"No specific sheet is identified for overall mechanical control diagrams or BMS network architecture; sequences and control schematics may be buried in notes only, which is insufficient for constructability and commissioning coordination."
12,Mechanical,Critical,M-102_FLOOR PLAN - LEVEL 2 - MECHANICAL PLAN.pdf,Ductwork and piping appear only schematically with limited dimensions/elevations; routing and vertical transitions at shafts/risers are not clearly defined for constructability and coordination with structure and other trades.
13,Mechanical,Critical,M-102_FLOOR PLAN - LEVEL 2 - MECHANICAL PLAN.pdf,"Access and service clearances around mechanical equipment (fan coils, AHUs, terminal units) are not clearly indicated; no minimum clearance dimensions or access panels are shown, creating risk of inadequate maintenance space."
14,Mechanical,Critical,M-102_FLOOR PLAN - LEVEL 2 - MECHANICAL PLAN.pdf,Mechanical shaft sizes and dedicated riser space for supply/return/exhaust/condensate piping are not clearly dimensioned or labeled; unclear if adequate space is reserved and coordinated with other disciplines.
15,Mechanical,Critical,M-102_FLOOR PLAN - LEVEL 2 - MECHANICAL PLAN.pdf,"Condensate drain routing from fan coils/terminal units is not shown on the plan; no indication of drain pipe sizes, slopes, or connection to risers/floor drains, which is a constructability and coordination gap."
16,Mechanical,Critical,M-102_FLOOR PLAN - LEVEL 2 - MECHANICAL PLAN.pdf,"Exhaust duct routing from restrooms and other exhaust grilles to vertical shafts or exterior terminations is not clearly indicated, leaving ambiguity on how exhaust air is conveyed and coordinated with structure."
17,Mechanical,Critical,M-102_FLOOR PLAN - LEVEL 2 - MECHANICAL PLAN.pdf,"Locations and sizes of outdoor air intakes, relief/exhaust louvers, and wall/roof penetrations serving Level 2 systems are not clearly identified on this sheet, making coordination with architectural openings difficult."
18,Mechanical,Critical,M-102_FLOOR PLAN - LEVEL 2 - MECHANICAL PLAN.pdf,"No balancing dampers, volume control dampers, or access doors are clearly indicated on branch ducts serving multiple diffusers; unclear how air balancing and damper access will be achieved."
19,Mechanical,Critical,M-102_FLOOR PLAN - LEVEL 2 - MECHANICAL PLAN.pdf,"Pressurization or ventilation provisions for egress stairs and elevator shafts, if required, are not clearly shown at this level, leaving life-safety airflow strategy ambiguous."
20,Mechanical,Critical,M-106_FLOOR PLAN - LEVEL 6 - MECHANICAL PLAN.pdf,Level 6 duct and piping distribution is schematic with limited sizing and no elevations; routing around roof structure and other trades is not clearly defined.
21,Mechanical,Critical,M-106_FLOOR PLAN - LEVEL 6 - MECHANICAL PLAN.pdf,"Access and service clearances for rooftop or upper-level mechanical equipment (e.g., AHUs, RTUs, exhaust fans) are not indicated; no maintenance pathways or working-space dimensions are shown."
22,Mechanical,Critical,M-106_FLOOR PLAN - LEVEL 6 - MECHANICAL PLAN.pdf,"Transition of vertical risers/shafts from lower levels to roof equipment is not clearly detailed; unclear where risers terminate, how they connect to roof units, and whether shaft space is adequate."
23,Mechanical,Critical,M-106_FLOOR PLAN - LEVEL 6 - MECHANICAL PLAN.pdf,Condensate drain routing for Level 6 units is not illustrated; unclear how condensate is discharged at this upper level or connected to drainage system.
24,Mechanical,Critical,M-106_FLOOR PLAN - LEVEL 6 - MECHANICAL PLAN.pdf,"Exact locations, sizes, and separation distances of outdoor air intakes, exhausts, and relief openings at Level 6/roof are not clearly shown, making code compliance and coordination with architectural/structural elements uncertain."
25,Mechanical,Critical,M-106_FLOOR PLAN - LEVEL 6 - MECHANICAL PLAN.pdf,"Sheet does not reference or depict mechanical control diagrams or sequences of operation for Level 2–6 systems; without separate control drawings/sequences, constructability and commissioning requirements cannot be verified from these plans."
26,Mechanical,Critical,M-102_FLOOR PLAN - LEVEL 2 - MECHANICAL PLAN.pdf through M-106_FLOOR PLAN - LEVEL 6 - MECHANICAL PLAN.pdf,"Coordination with fire/smoke rated assemblies (fire/smoke dampers at shaft penetrations, corridor separations, and stair/elevator enclosures) is not clearly indicated on any level plans, leaving life-safety damper requirements and access provisions ambiguous."
27,Mechanical,Critical,All listed mechanical floor plans (M,"Mechanical floor plans do not reference or include mechanical riser diagrams, hydronic piping diagrams, or control schematics on these sheets; without cross-referenced diagrams, vertical distribution, valve placement, and control zoning cannot be verified."
28,Mechanical,Critical,All listed mechanical floor plans (M,"No balancing damper locations, fire/smoke damper symbols, or access panels are clearly indicated at duct penetrations of rated walls/shafts, making life-safety and inspection access coordination uncertain."
29,Mechanical,Critical,All listed mechanical floor plans (M,"Sequences of operation and control points for unit FCUs (thermostats, control valves, safeties) are not evident on the plans; without clear control intent, zoning and BMS interface cannot be coordinated during construction."
30,Mechanical,Critical,M-124B_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR B.pdf,"Condensate piping from fan coil units is not clearly shown or tagged; need explicit condensate routing, riser connection points, pipe sizes, and indirect drain terminations for constructability."
31,Mechanical,Critical,M-124B_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR B.pdf,Mechanical riser types (supply/return/exhaust/condensate) and sizes are not clearly identified at each riser location; require coordinated riser diagram and labeling to confirm shaft space and routing.
32,Mechanical,Critical,M-124B_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR B.pdf,"Duct sizes and elevations are not consistently indicated on branch ducts serving guestrooms and corridors, making it unclear that ducts can be routed within ceiling space and coordinated with structure and other trades."
33,Mechanical,Critical,M-124B_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR B.pdf,"Access panels/doors and minimum working clearances for FCUs, valves, and control devices in small closets are not detailed; need confirmation that equipment is fully serviceable without demolition."
34,Mechanical,Critical,M-124B_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR B.pdf,Fire/smoke dampers and sleeve details for ducts/pipes penetrating rated cores are not indicated; require identification of damper locations and coordination with architectural fire ratings.
35,Mechanical,Critical,M-124B_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR B.pdf,"Exhaust duct sizes, vertical riser connections, and fan locations for guest toilet exhaust are not clearly shown, leaving exhaust system routing and shaft capacity ambiguous."
36,Mechanical,Critical,M-124B_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR B.pdf,No clear reference to mechanical control zones or thermostat locations for guestrooms; need explicit control device locations and zoning to coordinate wall finishes and electrical rough-in.
37,Mechanical,Critical,M-136B_FLOOR PLAN - LEVEL 36 - MECHANICAL PLAN - SECTOR B.pdf,"Similar to lower floors, condensate drain routing from fan coils is not clearly indicated; require explicit piping to risers and indirect drain terminations to confirm slope and routing."
38,Mechanical,Critical,M-136B_FLOOR PLAN - LEVEL 36 - MECHANICAL PLAN - SECTOR B.pdf,"Several ducts are shown connecting to risers without size labels or elevation notes; need duct sizes, CFM, and elevation to coordinate with structure and other services."
39,Mechanical,Critical,M-136B_FLOOR PLAN - LEVEL 36 - MECHANICAL PLAN - SECTOR B.pdf,Penetrations for supply/return or exhaust ducts at rated cores lack indicated fire/smoke dampers and access; require damper tags and access panel locations.
40,Mechanical,Critical,M-136B_FLOOR PLAN - LEVEL 36 - MECHANICAL PLAN - SECTOR B.pdf,No clear indication of balancing damper locations on main distribution ducts; need explicit balancing device locations to support TAB and commissioning.
41,Mechanical,Critical,All listed mechanical floor plans (M,"Mechanical general notes reference schedules, riser diagrams, and control sequences that are not present on these sheets; cannot verify key checklist items (TAB requirements, control sequences, equipment schedules) without additional documents—request cross-referenced sheets or include on these plans."
42,Mechanical,Critical,M-149A_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR A.pdf,"Fan coil units in guestrooms are shown with supply/return ductwork but condensate drain piping routing, connection to risers, and termination points are not indicated; provide coordinated condensate piping layout for Levels 49–59 Sector A."
43,Mechanical,Critical,M-149A_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR A.pdf,"Mechanical risers/shafts serving Levels 49–59 are not clearly identified or sized on this plan (only partial duct/pipe arrows shown); provide coordinated shaft allocation and riser diagrams to confirm capacity for all ducts, piping, and vents."
44,Mechanical,Critical,M-149A_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR A.pdf,"No ceiling heights or duct elevation data are shown; verify that main ducts, branches, and piping can be routed above ceilings with required clearances and maintain architectural ceiling heights."
45,Mechanical,Critical,M-149A_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR A.pdf,"Access panels/doors and working clearances for fan coil units, valves, and filters are not detailed; clarify minimum access opening sizes and service clearances for all FCUs and control valves."
46,Mechanical,Critical,M-149A_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR A.pdf,Toilet exhaust duct routing from guestroom/bathrooms to vertical exhaust risers and roof discharge is not clearly shown; provide continuous exhaust routing and confirm riser locations for constructability.
47,Mechanical,Critical,M-149A_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR A.pdf,"Locations and details for outside air intakes, dryer exhausts, and other exterior penetrations are not clearly identified or tagged; provide coordinated louver/termination schedule and exact wall locations."
48,Mechanical,Critical,M-149B_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR B.pdf,"Similar to Sector A, condensate drain piping for fan coil units is not shown from units to risers or drains; provide coordinated condensate routing and riser locations for Sector B guestrooms."
49,Mechanical,Critical,M-149B_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR B.pdf,Mechanical shafts appear diagrammatic with multiple systems entering but no clear labeling of which risers (supply/return/condensate/exhaust) are present; provide detailed riser identification and sizes to avoid shaft overcrowding.
50,Mechanical,Critical,M-149B_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR B.pdf,Duct sizes and elevations for corridor supply/return mains are difficult to confirm in several areas; clarify duct dimensions and any required soffits to ensure coordination with structure and other trades.
51,Mechanical,Critical,M-149B_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR B.pdf,Exterior louver or grille locations for outside air and exhaust at perimeter units are not clearly detailed; confirm exact façade penetration locations and coordination with architectural elevations.
52,Mechanical,Critical,M-160A_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR A.pdf,"Equipment (AHUs, pumps, etc.) is densely arranged with minimal dimensioning; verify required service clearances, access aisles, and door widths for equipment installation/replacement and show on plan."
