Item No.,Discipline,Reference Drawing(s)/Location,Observation/Comments
1,Fire Protection,,---
2,Fire Protection,Faena - 50% CD - Fire Protection.pdf,"Underground fire service routing from street to building is labeled “FOR HYDRAULIC REFERENCE ONLY (UG BY OTHERS)” with no pipe sizes, materials, or valve configuration; coordination and responsibility for final design/installation unclear."
3,Fire Protection,Faena - 50% CD - Fire Protection.pdf,Fire department connection (FDC) piping arrangement and backflow location not clearly dimensioned from building or property lines; constructability and AHJ access need clarification.
4,Fire Protection,Faena - 50% CD - Fire Protection.pdf,"Hydrant locations are shown but no dimensions to building, FDC, or fire lanes; ability to meet required hose distances and vehicle access during potential flood events is unclear."
5,Fire Protection,Faena - 50% CD - Fire Protection.pdf,Flow test data provided without explicit reference to test date validity window or safety factor to be applied in hydraulic calculations; need confirmation that data is current and design margin is defined.
6,Fire Protection,FP-0_SITE PLAN.pdf,"Coordination between site fire water service and building fire riser entry not detailed (no elevation, thrust blocks, or tie-in detail); risk of field conflicts with other utilities."
7,Fire Protection,FP-0_SITE PLAN.pdf,"No indication of valve pits, post indicator valves, or sectional valves on underground main; isolation strategy for building fire protection system unclear."
8,Fire Protection,FP-0_SITE PLAN.pdf,Penetration and sleeve details for fire service entry through foundation/walls not clearly tied to specific locations on plan; potential for uncoordinated fire-rated penetrations and waterproofing.
9,Fire Protection,FP-01_LEVEL1 - FIRE PROTECTION.pdf,Sprinkler head layout is not shown on Level 1 plan (only piping/risers/standpipes indicated); compliance with NFPA sprinkler spacing and coverage cannot be verified.
10,Fire Protection,FP-01_LEVEL1 - FIRE PROTECTION.pdf,Standpipe hose valve locations at stairs and exit passageways are not clearly dimensioned or labeled by floor level; confirmation of hose reach to remote areas is not possible.
11,Fire Protection,FP-01_LEVEL1 - FIRE PROTECTION.pdf,"Fire riser room layout, clearances, and separation from other uses are not detailed on this plan; need dedicated room configuration and door access information."
12,Fire Protection,FP-01_LEVEL1 - FIRE PROTECTION.pdf,Coordination of sprinkler piping with structural beams and mechanical ductwork is not depicted; potential for field conflicts and hidden obstructions to sprinkler discharge.
13,Fire Protection,FP-01_LEVEL1 - FIRE PROTECTION.pdf,No explicit indication of fire-rated wall penetrations or required firestopping details where FP mains cross rated assemblies; continuity of fire ratings cannot be confirmed.
14,Fire Protection,FP-01_LEVEL1 - FIRE PROTECTION.pdf,No coordination shown between sprinkler piping and varying ceiling heights/soffits at lobby and amenity areas; risk of concealed or obstructed heads under soffits.
15,Fire Protection,FP-02_LEVEL2 - FIRE PROTECTION.pdf,Plan appears to show mechanical and FP routing together but individual sprinkler head locations and spacing are not indicated; NFPA coverage and spacing compliance cannot be verified.
16,Fire Protection,FP-02_LEVEL2 - FIRE PROTECTION.pdf,"No clear indication of sprinkler head type (concealed, sidewall, etc.) or location relative to corridor and room soffits; potential for spacing/obstruction issues at door headers and bulkheads."
